,A_SOURCE,A_ID,A_MUNI,A_YEAR,A_CRASH_DATE,A_SEVERITY,A_CRASH_TIME,A_POLICE,A_CYCLIST,A_PEDESTRIAN,A_OTHER,A_LAT,A_LON,A_INTERSTATE,A_datetime,B_SOURCE,B_ID,B_MUNI,B_YEAR,B_CRASH_DATE,B_SEVERITY,B_CRASH_TIME,B_POLICE,B_CYCLIST,B_PEDESTRIAN,B_OTHER,B_LAT,B_LON,B_INTERSTATE,B_datetime,distance_m,time_diff_sec,confidence
61,BostonVZFatality,40,BOSTON,2024,2024-12-12,1,13:44:27,,0,1,,42.376940935458435,-71.05648233022538,,2024-12-12 13:44:27,BostonVZCrash,14027,BOSTON,2024,2024-12-12,2,13:45:01,,0,1,,42.376940935458435,-71.05648233022538,,2024-12-12 13:45:01,0.0,34.0,0.9971666666666665
62,BostonVZFatality,31,BOSTON,2024,2024-12-18,1,10:42:28,,0,1,,42.331421903284216,-71.09437514443358,,2024-12-18 10:42:28,BostonVZCrash,26208,BOSTON,2024,2024-12-18,2,10:43:32,,0,1,,42.331421903284216,-71.09437514443358,,2024-12-18 10:43:32,0.0,64.0,0.9946666666666666
63,BostonVZCrash,26252,BOSTON,2025,2025-01-02,2,18:25:18,,0,0,,42.295844074873166,-71.05629435180104,,2025-01-02 18:25:18,MassDOT,5481925,BOSTON,2025,2025-01-02,0,19:25:00,Local,0,0,0.0,42.29637029,-71.05645739,0,2025-01-02 19:25:00,59.92414692764906,3582.0,0.28203097150645656
64,BostonVZFatality,82,BOSTON,2025,2025-01-12,1,14:24:13,,0,1,,42.329289656059046,-71.05695725997023,,2025-01-12 14:24:13,BostonVZCrash,14017,BOSTON,2025,2025-01-12,2,14:29:03,,0,0,,42.32951559009473,-71.05700727981439,,2025-01-12 14:29:03,25.41236731307457,290.0,0.7979467621418113
65,BostonVZFatality,41,BOSTON,2025,2025-01-18,1,20:07:42,,0,0,,42.25023657920695,-71.13090582003008,,2025-01-18 20:07:42,BostonVZCrash,39526,BOSTON,2025,2025-01-18,2,20:09:15,,0,0,,42.25023657920695,-71.13090582003008,,2025-01-18 20:09:15,0.0,93.0,0.9922499999999999
66,BostonVZFatality,149,BOSTON,2025,2025-01-19,1,01:29:24,,0,1,,42.33565200322881,-71.0781290443949,,2025-01-19 01:29:24,BostonVZCrash,20828,BOSTON,2025,2025-01-19,2,01:30:31,,0,1,,42.33565200322881,-71.0781290443949,,2025-01-19 01:30:31,0.0,67.0,0.9944166666666666
67,MassDOT,5530967,BOSTON,2025,2025-05-07,2,23:25:00,State,0,0,0.0,42.32367169,-71.05526909,0,2025-05-07 23:25:00,BostonVZCrash,2737,BOSTON,2025,2025-05-08,2,00:00:51,,0,0,,42.32377729967336,-71.05529825352797,,2025-05-08 00:00:51,11.964507182964105,2151.0,0.7369984497192513
68,BostonVZFatality,43,BOSTON,2025,2025-05-11,1,04:28:24,,0,0,,42.28179736333694,-71.09863160876505,,2025-05-11 04:28:24,BostonVZCrash,26850,BOSTON,2025,2025-05-11,2,04:30:05,,0,0,,42.28179736333694,-71.09863160876505,,2025-05-11 04:30:05,0.0,101.0,0.9915833333333333
69,MassDOT,5527073,BOSTON,2025,2025-05-13,2,22:30:00,Local,0,0,0.0,42.30873223,-71.08079358,0,2025-05-13 22:30:00,BostonVZCrash,1305,BOSTON,2025,2025-05-13,2,23:27:54,,0,0,,42.30876271949559,-71.0807777412352,,2025-05-13 23:27:54,3.625486381658315,3474.0,0.6851215953283918
70,BostonVZCrash,21130,BOSTON,2025,2025-05-28,2,16:07:19,,0,1,,42.331361390215626,-71.07071661568612,,2025-05-28 16:07:19,MassDOT,5556505,BOSTON,2025,2025-05-28,0,17:06:00,Local,0,0,0.0,42.33220922,-71.07068864,0,2025-05-28 17:06:00,94.13710095110883,3521.0,0.047623626675571504
