,source,id,muni,year,date,severity,time,police,pedestrian,cyclist,other,lat,lng,interstate,NON_MTRST_TYPE_CL,MOST_HRMFL_EVT_CL
1472,MassDOT,5004257,BOSTON,2021,2021-08-27,2,22:03:00,State,0,0,0,,,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1473,MassDOT,5004256,BOSTON,2021,2021-08-27,0,14:40:00,State,0,0,0,42.35707263,-71.05143494,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1474,MassDOT,5004255,BOSTON,2021,2021-08-24,0,14:30:00,State,0,0,0,42.35318167,-71.05559084,0,,V2:(Collision with motor vehicle in traffic) / V1:(Collision with motor vehicle in traffic)
1475,MassDOT,5004254,BOSTON,2021,2021-08-24,0,02:47:00,State,0,0,0,42.34879591,-71.05871813,1,,V1:(Collision with median barrier)
1476,MassDOT,5004252,BOSTON,2021,2021-08-25,0,23:00:00,State,0,0,0,42.30513219,-71.12468159,0,,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic)
1477,MassDOT,5004248,BOSTON,2021,2021-08-22,0,21:55:00,State,0,0,0,42.2865103,-71.09341525,0,,V1:(Collision with motor vehicle in traffic)
1478,MassDOT,5004247,BOSTON,2021,2021-08-22,0,20:21:00,State,0,0,0,42.29810032,-71.1299004,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1479,MassDOT,5004241,BOSTON,2021,2021-08-12,0,17:07:00,State,0,0,0,42.28109996,-71.08587437,0,,V1:(Collision with motor vehicle in traffic)
1480,MassDOT,5004233,BOSTON,2021,2021-09-04,0,11:30:00,State,0,0,0,42.3111345,-71.05301959,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1481,MassDOT,5004231,BOSTON,2021,2021-09-03,0,14:08:00,State,0,0,0,42.28399212,-71.04386967,1,,V1:(Collision with median barrier) / V2:(Collision with motor vehicle in traffic)
1482,MassDOT,5004230,BOSTON,2021,2021-09-03,0,10:19:00,State,0,0,1,42.30196483,-71.04983253,1,,V1:(Collision with moped) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic)
